datasets,5G,4G,wifi
V1_01,5.569924,5.569087,5.569855
V1_02,1.949597,1.953695,1.943535
V1_03,2.861087,2.863381,2.854914
V2_01,1.961144,1.961585,1.959828
V2_02,1.22441,1.224232,1.21555
V2_03,1.631207,1.634389,1.618875
